,Date,Team,Acquired,Relinquished,Notes
21694,2015-02-11,Knicks,, Lance Thomas,placed on IL with ankle injury
21697,2015-02-11,Magic,, Tobias Harris,placed on IL
21698,2015-02-11,Mavericks,, Tyson Chandler,placed on IL with sprained left ankle
21699,2015-02-11,Pacers,, Lavoy Allen,placed on IL
21701,2015-02-11,Pistons,, Caron Butler,placed on IL with back spasms
21702,2015-02-11,Spurs,, Reggie Williams,placed on IL
21704,2015-02-11,Timberwolves,, Gary Neal,placed on IL
21706,2015-02-12,Bulls,, Jimmy Butler,placed on IL with strained right shoulder
21707,2015-02-19,Mavericks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with sprained left ankle
21708,2015-02-19,Mavericks,, Dwight Powell,placed on IL
21711,2015-02-20,76ers,, Isaiah Canaan,placed on IL
21713,2015-02-20,Blazers,, Alonzo Gee,placed on IL
21714,2015-02-20,Blazers,, Arron Afflalo,placed on IL
21716,2015-02-20,Bulls,, Cameron Bairstow,placed on IL
21719,2015-02-20,Celtics,, Jared Sullinger,placed on IL with stress fracture in left foot
21723,2015-02-20,Heat,, Chris Bosh,placed on IL with blood clot in lungs (out for season)
21725,2015-02-20,Jazz,, Grant Jerrett,placed on IL
21727,2015-02-20,Kings,, Reggie Evans,placed on IL with bruised right knee
21729,2015-02-20,Nuggets,, Will Barton,placed on IL
21731,2015-02-20,Pacers,, Shayne Whittington,placed on IL
21733,2015-02-20,Pelicans,, Justin Hamilton (Anthony),placed on IL
21734,2015-02-20,Pelicans,, Norris Cole (Gene),placed on IL
21736,2015-02-20,Rockets,, Nick Johnson,placed on IL
21738,2015-02-20,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
21739,2015-02-20,Suns,, Danny Granger,placed on IL (out for season)
21740,2015-02-20,Suns,, Marcus Thornton (T.),placed on IL
21743,2015-02-20,Timberwolves,, Kevin Garnett,placed on IL
21745,2015-02-20,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
21746,2015-02-21,Bulls,, Kirk Hinrich,placed on IL with illness
21749,2015-02-21,Raptors,, Louis Williams / Lou Williams,placed on IL with ankle injury
21751,2015-02-21,Thunder,, Kevin Durant,placed on IL with right foot injury (out for season)
21754,2015-02-22,Magic,, Maurice Harkless / Moe Harkless,placed on IL
21756,2015-02-22,Mavericks,, Chandler Parsons,placed on IL with sprained left ankle
21759,2015-02-23,Bulls,, Taj Gibson,placed on IL with illness
21760,2015-02-23,Raptors,, Patrick Patterson,placed on IL with left knee injury
21762,2015-02-23,Spurs,, Matt Bonner,placed on IL
21765,2015-02-23,Timberwolves,, Shabazz Muhammad,placed on IL with recovering from surgery on left middle finger to repair ruptured ligament (out for season)
21766,2015-02-24,Cavaliers,, Shawn Marion,placed on IL with strained left hip
21771,2015-02-25,Clippers,, Blake Griffin,placed on IL recovering from surgery on right elbow to remove staph infection
21772,2015-02-25,Jazz,, Ian Clark,placed on IL
21776,2015-02-25,Rockets,, Clint Capela,placed on IL
21777,2015-02-25,Rockets,, Kostas Papanikolaou,placed on IL with sprained right ankle
21779,2015-02-25,Spurs,, Reggie Williams,placed on IL
21781,2015-02-25,Thunder,, Steve Novak,placed on IL with appendectomy (date approximate)
21783,2015-02-25,Bulls,, Derrick Rose,placed on IL with torn medial meniscus in righ tknee
21784,2015-02-27,Bulls,, Pau Gasol,placed on IL with illness
21785,2015-02-27,Kings,, DeMarcus Cousins,placed on IL with sprained left ankle
21786,2015-02-27,Magic,, Aaron Gordon,placed on IL with sprained right ankle
21787,2015-02-27,Magic,, Evan Fournier,placed on IL with hip injury
21790,2015-02-27,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
21792,2015-02-27,Timberwolves,, Anthony Bennett,placed on IL with sprained right ankle
21794,2015-02-28,Heat,, Chris Andersen,placed on IL with illness
21795,2015-02-28,Mavericks,, Tyson Chandler,placed on IL with strained left hip
21796,2015-02-28,Raptors,, Kyle Lowry,placed on IL for rest
21797,2015-02-28,Spurs,, Reggie Williams,placed on IL
21799,2015-02-28,Wizards,, Kris Humphries,placed on IL with strained left groin
21801,2015-03-01,Blazers,, Allen Crabbe,placed on IL
21803,2015-03-01,Bulls,, Taj Gibson,placed on IL with sore left ankle
21805,2015-03-01,Hornets,, P.J. Hairston,placed on IL
21808,2015-03-02,Timberwolves,, Robbie Hummel,placed on IL with fractured right hand
21809,2015-03-03,Bulls,, Jimmy Butler,placed on IL with sprained left elbow
21811,2015-03-03,Knicks,, Jose Calderon,placed on IL with sore/strained left Achilles (out for season)
21812,2015-03-04,Celtics,, Shavlik Randolph,placed on IL with waived
21814,2015-03-04,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL with detached retina in left eye (out for season)
21816,2015-03-04,Pacers,, Roy Hibbert,placed on IL with elbow injury
21818,2015-03-05,Mavericks,, Dwight Powell,placed on IL
21820,2015-03-06,Celtics,, Avery Bradley,placed on IL with strained left elbow
21823,2015-03-06,Mavericks,, Devin Harris,placed on IL with right hand injury / hip injury (P)
21825,2015-03-06,Pacers,, Shayne Whittington,placed on IL
21827,2015-03-06,Raptors,, Lucas Nogueira,placed on IL
21829,2015-03-06,Rockets,, Nick Johnson,placed on IL
21831,2015-03-07,Blazers,, Wesley Matthews / Wes Matthews Jr.,placed on IL with torn left Achilles tendon (out for season)
21833,2015-03-07,Hawks,, Kyle Korver,placed on IL
21834,2015-03-08,Clippers,, Jamal Crawford,placed on IL with bruised right calf
21837,2015-03-08,Mavericks,, Dwight Powell,placed on IL
21838,2015-03-09,Hawks,, Jarell Eddie,placed on IL
21840,2015-03-09,Heat,, Zoran Dragic,placed on IL
21841,2015-03-10,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
21843,2015-03-10,Pacers,, C.J. Miles,placed on IL with foot injury
21845,2015-03-10,Pistons,, Joel Anthony,placed on IL with groin injury
21846,2015-03-10,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with illness
21848,2015-03-11,Celtics,, Isaiah Thomas,placed on IL with back injury
21850,2015-03-11,Hornets,, Cody Zeller,placed on IL with shoulder injury
21852,2015-03-11,Nets,, Sergey Karasev,"placed on IL with torn MCL, disloated patella in right knee (out for season)"
21854,2015-03-11,Rockets,, Kostas Papanikolaou,placed on IL with sprained right ankle
21856,2015-03-11,Suns,, Brandon Knight,placed on IL with sprained left ankle
21857,2015-03-11,Pistons,, Quincy Miller,placed on IL
21858,2015-03-12,Grizzlies,, Mike Conley Jr.,placed on IL for rest
21859,2015-03-12,Grizzlies,, Tony Allen,placed on IL for rest
21862,2015-03-12,Pacers,, Roy Hibbert,placed on IL with elbow injury
21864,2015-03-12,Spurs,, Reggie Williams,placed on IL
21866,2015-03-13,Hawks,, (James) Mike Scott,placed on IL with fractured left big toe
21868,2015-03-13,Hornets,, Al Jefferson,placed on IL with strained right knee / right calf injury (P)
21870,2015-03-13,Mavericks,, Al-Farouq Aminu,placed on IL with bruised/sprained left shoulder
21873,2015-03-13,Thunder,, Serge Ibaka,placed on IL with right knee injury (out for season)
21875,2015-03-13,Warriors,, Andrew Bogut,placed on IL
21877,2015-03-14,Grizzlies,, Jarnell Stokes,placed on IL
21879,2015-03-14,Pacers,, Donald Sloan,placed on IL with sprained toe
21882,2015-03-14,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
21883,2015-03-15,Cavaliers,, Kevin Love,placed on IL for rest
21884,2015-03-15,Clippers,, C.J. Wilcox,placed on IL
21886,2015-03-15,Raptors,, Bruno Caboclo,placed on IL
21888,2015-03-16,Hawks,, Kyle Korver,placed on IL with fractured nose
21890,2015-03-16,Hornets,, P.J. Hairston,placed on IL
21892,2015-03-16,Pacers,, Shayne Whittington,placed on IL
21894,2015-03-16,Warriors,, Brandon Rush,placed on IL
21896,2015-03-17,Pistons,, Greg Monroe,placed on IL with strained right knee
21898,2015-03-17,Spurs,, Aron Baynes,placed on IL with rib injury
21899,2015-03-17,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with sprained right ankle
21903,2015-03-18,Celtics,, James Young,placed on IL
21904,2015-03-18,Hawks,, Thabo Sefolosha,placed on IL with calf injury
21905,2015-03-18,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
21907,2015-03-18,Warriors,, Klay Thompson,placed on IL with sprained right ankle
21909,2015-03-18,Cavaliers,, Joe Harris,placed on IL
21911,2015-03-20,Clippers,, Glen Davis,placed on IL with illness
21913,2015-03-20,Grizzlies,, Russ Smith,placed on IL
21916,2015-03-20,Hornets,, Noah Vonleh,placed on IL
21917,2015-03-20,Hornets,, Troy Daniels,placed on IL
21920,2015-03-20,Kings,, DeMarcus Cousins,placed on IL with strained right calf
21922,2015-03-21,Grizzlies,, Courtney Lee,placed on IL with right hand injury
21924,2015-03-21,Jazz,, Grant Jerrett,placed on IL
21928,2015-03-22,Clippers,, C.J. Wilcox,placed on IL
21931,2015-03-22,Hornets,, Cody Zeller,placed on IL with sore right shoulder (out for season)
21933,2015-03-22,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle
21935,2015-03-22,Raptors,, Kyle Lowry,placed on IL with back injury / rest (DTD)
21937,2015-03-23,Bulls,, Cameron Bairstow,placed on IL with illness
21938,2015-03-23,Bulls,, Joakim Noah,placed on IL with general soreness
21940,2015-03-23,Jazz,, Gordon Hayward,placed on IL with sprained left shoulder
21942,2015-03-23,Pacers,, Rodney Stuckey,placed on IL with calf injury
21944,2015-03-23,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
21946,2015-03-24,Raptors,, Bruno Caboclo,placed on IL
21947,2015-03-24,Spurs,, Aron Baynes,placed on IL with sprained right ankle
21949,2015-03-24,Thunder,, Nick Collison,placed on IL with sprained left ankle
21950,2015-03-24,Warriors,, Shaun Livingston,placed on IL
21953,2015-03-24,Spurs,, Kyle Anderson,placed on IL
21954,2015-03-25,Bulls,, Doug McDermott,placed on IL with back injury
21957,2015-03-25,Celtics,, James Young,placed on IL
21959,2015-03-25,Clippers,, Nate Robinson,placed on IL with knee injury
21961,2015-03-25,Grizzlies,, Russ Smith,placed on IL
21964,2015-03-25,Heat,, Dwyane Wade,placed on IL with swelling in left knee
21965,2015-03-25,Jazz,, Rodney Hood,placed on IL with illness
21966,2015-03-25,Knicks,, Alexey Shved,placed on IL with fractured rib (out for season)
21967,2015-03-25,Raptors,, Kyle Lowry,placed on IL with back spasms
21969,2015-03-25,Rockets,, Patrick Beverley,placed on IL with torn ligaments in left wrist (out for season)
21971,2015-03-25,Suns,, Marcus Thornton (T.),placed on IL with sprained right big toe
21973,2015-03-25,Hawks,, Austin Daye,placed on IL
21974,2015-03-27,Hawks,, Jeff Teague,placed on IL with sprained left ankle
21976,2015-03-27,Heat,, Hassan Whiteside,placed on IL with hand injury
21978,2015-03-27,Jazz,, Grant Jerrett,placed on IL
21980,2015-03-27,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
21982,2015-03-27,Rockets,, Terrence Jones,placed on IL with partially collapsed lung
21983,2015-03-27,Warriors,, Brandon Rush,placed on IL
21986,2015-03-28,Hornets,, Michael Kidd-Gilchrist,placed on IL with sprained left ankle (out for season)
21990,2015-03-28,Warriors,, Andre Iguodala,placed on IL
21992,2015-03-29,Clippers,, Ekpe Udoh,placed on IL
21993,2015-03-29,Mavericks,, Monta Ellis,placed on IL with right calf injury
21995,2015-03-29,Pacers,, Shayne Whittington,placed on IL
21997,2015-03-29,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL
22000,2015-03-30,Grizzlies,, Tony Allen,placed on IL with strained left hamstring
22001,2015-03-30,Hawks,, Austin Daye,placed on IL
22003,2015-03-30,Suns,, Brandon Knight,placed on IL with sprained left ankle (out for season)
22005,2015-03-30,Timberwolves,, Kevin Garnett,placed on IL with sore left knee (out for season)
22006,2015-03-30,Timberwolves,, Nikola Pekovic,placed on IL with sprained right ankle (out for season)
22008,2015-03-31,Clippers,, C.J. Wilcox,placed on IL
22010,2015-03-31,Hawks,, Dennis Schröder,placed on IL with toe injury
22012,2015-03-31,Heat,, Shabazz Napier,placed on IL with hip injury / sports hernia (out for season)
22014,2015-03-31,Warriors,, Draymond Green,placed on IL with shin injury
22016,2015-04-01,Lakers,, Ronnie Price,placed on IL recovering from surgery on right elbow to remove bone spurs and chips (out for season)
22017,2015-04-01,Mavericks,, Dwight Powell,placed on IL
22018,2015-04-01,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
22021,2015-04-01,Nuggets,, Darrell Arthur,placed on IL with strained right calf (out for season)
22022,2015-04-01,Rockets,, Donatas Motiejunas,placed on IL with sore lower back (out for season)
22024,2015-04-01,Spurs,, Reggie Williams,placed on IL
22026,2015-04-01,Wizards,, Paul Pierce,placed on IL for rest
22029,2015-04-02,Cavaliers,, Kevin Love,placed on IL with sore back
22031,2015-04-03,Blazers,, Dorell Wright,placed on IL with fractured left hand (out for season)
22032,2015-04-03,Bulls,, Kirk Hinrich,placed on IL with hyperextended knee
22034,2015-04-03,Celtics,, Shavlik Randolph,placed on IL
22036,2015-04-03,Kings,, Rudy Gay,placed on IL with concussion
22037,2015-04-03,Lakers,, Kobe Bryant,placed on IL recovering from surgery on right shoulder to repair torn rotator cuff (out for season)
22040,2015-04-04,Suns,, Alex Len,placed on IL with fractured nose (out for season)
22041,2015-04-04,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
22042,2015-04-04,Wizards,, Nene / Nene Hilario / Maybyner Hilario,placed on IL for rest
22044,2015-04-04,Hawks,, Austin Daye,placed on IL
22046,2015-04-05,Cavaliers,, Joe Harris,placed on IL
22048,2015-04-05,Pacers,, C.J. Watson,placed on IL with sore right elbow (out for season)
22050,2015-04-05,Spurs,, Tiago Splitter,placed on IL with sore right calf
22052,2015-04-05,Warriors,, Brandon Rush,placed on IL
22054,2015-04-07,Clippers,, Ekpe Udoh,placed on IL
22056,2015-04-07,Hawks,, Paul Millsap,placed on IL with shoulder injury
22058,2015-04-07,Kings,, DeMarcus Cousins,placed on IL with sore right foot (out for season)
22060,2015-04-07,Suns,, Brandon Knight,placed on IL with sprained left ankle (out for season)
22061,2015-04-07,Warriors,, James Michael McAdoo / James McAdoo (Michael),placed on IL
22064,2015-04-08,Bulls,, Cameron Bairstow,placed on IL
22067,2015-04-08,Hawks,, John Jenkins,placed on IL with illness
22070,2015-04-08,Nuggets,, Jameer Nelson,placed on IL with hip flexor injury (out for season)
22071,2015-04-08,Pacers,, Chris Copeland,placed on IL with abdominal injuries from stabbing (out for season)
22072,2015-04-08,Pistons,, Spencer Dinwiddie,placed on IL with sprained left ankle (out for season)
22074,2015-04-08,Raptors,, Amir Johnson,placed on IL with sprained right ankle
22077,2015-04-08,Spurs,, Marco Belinelli,placed on IL with sore left groin
22078,2015-04-08,Wizards,, John Wall (Hildred),placed on IL for rest
22082,2015-04-08,Nuggets,, Shavlik Randolph,placed on IL
22084,2015-04-09,Bulls,, Jimmy Butler,placed on IL with calf injury
22086,2015-04-09,Warriors,, Leandro Barbosa,placed on IL with Achilles injury
22088,2015-04-10,Cavaliers,, Iman Shumpert,placed on IL with sore right quadriceps
22089,2015-04-10,Grizzlies,, Mike Conley Jr.,placed on IL with sprained foot
22091,2015-04-10,Hawks,, Thabo Sefolosha,"placed on IL with fractured fibula, ligament damage in leg (out for season)"
22093,2015-04-10,Jazz,, Trey Burke,placed on IL with back injury
22095,2015-04-10,Magic,, Ben Gordon,placed on IL
22097,2015-04-10,Mavericks,, Rajon Rondo,placed on IL for rest
22099,2015-04-10,Pelicans,, Jeff Withey,placed on IL
22101,2015-04-10,Raptors,, Lucas Nogueira,placed on IL
22103,2015-04-10,Spurs,, Kyle Anderson,placed on IL
22108,2015-04-11,Blazers,, Arron Afflalo,placed on IL with strained right shoulder (out for season)
22109,2015-04-11,Bulls,, Cameron Bairstow,placed on IL
22111,2015-04-12,Cavaliers,, Kevin Love,placed on IL for rest
22113,2015-04-12,Mavericks,, Devin Harris,placed on IL for rest
22115,2015-04-12,Spurs,, Matt Bonner,placed on IL with strained right calf
22117,2015-04-12,Wizards,, DeJuan Blair,placed on IL
22120,2015-04-14,Clippers,, Austin Rivers,placed on IL
22121,2015-04-14,Raptors,, Bruno Caboclo,placed on IL
22123,2015-04-14,Wizards,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with shoulder injury
22125,2015-04-15,Bulls,, Joakim Noah,placed on IL with sore left knee
22126,2015-04-15,Cavaliers,, LeBron James,placed on IL for rest
22127,2015-04-15,Celtics,, Avery Bradley,placed on IL with quadriceps injury
22128,2015-04-15,Celtics,, Isaiah Thomas,placed on IL
22130,2015-04-15,Hawks,, (James) Mike Scott,placed on IL with back injury
22132,2015-04-15,Jazz,, Gordon Hayward,placed on IL with Achilles injury (out for season)
22134,2015-04-15,Mavericks,, Devin Harris,placed on IL with left big toe injury
22136,2015-04-15,Pelicans,, Jeff Withey,placed on IL
22137,2015-04-15,Warriors,, David Lee,placed on IL with back injury
22141,2015-04-18,Bulls,, Kirk Hinrich,placed on IL with sprained left knee
22143,2015-04-18,Mavericks,, Dwight Powell,placed on IL
22144,2015-04-18,Mavericks,, Greg Smith (b. 1991-01-08),placed on IL
22146,2015-04-18,Wizards,, DeJuan Blair,placed on IL (out for season)
22147,2015-04-18,Wizards,, Garrett Temple,placed on IL
22149,2015-04-18,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
22150,2015-04-19,Cavaliers,, Joe Harris,placed on IL
22152,2015-04-19,Celtics,, Chris Babb,placed on IL
22153,2015-04-19,Celtics,, James Young,placed on IL (out for season)
22155,2015-04-19,Clippers,, Jordan Hamilton,placed on IL with concussion
22156,2015-04-19,Grizzlies,, Jarnell Stokes,placed on IL (out for season)
22157,2015-04-19,Grizzlies,, Russ Smith,placed on IL
22160,2015-04-19,Hawks,, Austin Daye,placed on IL
22162,2015-04-19,Spurs,, Kyle Anderson,placed on IL
22163,2015-04-19,Spurs,, Reggie Williams,placed on IL
22166,2015-04-21,Mavericks,, Chandler Parsons,placed on IL with sprained right knee (out for season)
22167,2015-04-21,Mavericks,, Devin Harris,placed on IL with left big toe injury (out for season)
22170,2015-04-22,Nets,, Earl Clark,placed on IL
