,Date,Team,Acquired,Relinquished,Notes
509,1987-01-05,76ers,, Andrew Toney,placed on IL with sore foot
510,1987-01-07,Pistons,, Rick Mahorn,placed on IL
511,1987-01-08,Bucks,, Paul Pressey,placed on IL recovering from surgery on right ring finger to repair partially divided tendon (out 4-5 weeks) (date approximate)
512,1987-01-09,Bucks,, Paul Pressey,placed on IL recovering from surgery on right ring finger to repair partially divided tendon
513,1987-01-09,Bulls,, Sedale Threatt,placed on IL with broken right ring finger
515,1987-01-12,Cavaliers,, Mark Price,placed on IL with appendectomy
519,1987-01-23,76ers,, Kenny Green,placed on IL with ankle injury
521,1987-01-23,Cavaliers,, John Bagley,placed on IL with sprained left ankle
522,1987-01-27,Warriors,, Chris Washburn,placed on IL
524,1987-01-28,76ers,, Jeff Ruland,placed on IL recovering from arthroscopic surgery on left knee
525,1987-02-01,Kings,, Kings,placed on IL with right foot injury
527,1987-02-11,Bucks,, Keith Smith,placed on IL
530,1987-02-13,Hawks,, Scott Hastings,placed on IL with knee injury
531,1987-02-13,Hawks,, Wayne Rollins / Tree Rollins,placed on IL with fractured big toe
533,1987-03-05,Suns,, Grant Gondrezick,placed on IL with sore knee
535,1987-03-17,Bucks,, Marvin Webster,placed on suspended list
537,1987-03-21,Knicks,, Patrick Ewing (Sr.),placed on IL with sprained left knee
538,1987-03-23,Suns,, William Bedford,placed on IL with weakness in right knee
539,1987-03-26,Warriors,, Purvis Short,placed on IL with pulled thigh muscle
540,1987-03-30,Celtics,, Rick Carlisle,placed on IL
542,1987-03-31,Bullets,, Frank Johnson,placed on IL
544,1987-04-03,Bucks,, Junior Bridgeman,placed on IL
545,1987-04-03,Sonics,, Alton Lister,placed on IL with broken bone in foot
546,1987-04-19,Blazers,, Ron Rowan,placed on IL
548,1987-10-31,Clippers,, Lancaster Gordon,placed on IL recovering from arthroscopic surgery on right knee
549,1987-11-01,Suns,, Bernard Thompson,placed on IL with stress fracture in foot (date approximate)
550,1987-11-01,Suns,, Larry Nance (Sr.),placed on IL with broken right hand (date approximate)
551,1987-11-03,Celtics,, Bill Walton,placed on IL recovering from surgery on foot (date approximate)
552,1987-11-03,Celtics,, Kevin McHale,placed on IL recovering from surgery on foot (date approximate)
553,1987-11-03,Kings,, Franklin Edwards,placed on IL with sprained right ankle
554,1987-11-03,Knicks,, Louis Orr,placed on IL recovering from back surgery
555,1987-11-04,Mavericks,, Brad Davis,placed on IL
556,1987-11-05,Blazers,, Jim Paxson Jr.,placed on IL recovering from surgery on toe
557,1987-11-05,Blazers,, Ronnie Murphy,placed on IL
558,1987-11-05,Blazers,, Sam Bowie,placed on IL with broken bone in right leg
559,1987-11-05,Nuggets,, Maurice Martin / Mo Martin,placed on IL
560,1987-11-05,Nuggets,, Mike Evans,placed on IL
561,1987-11-05,Warriors,, Kevin Henderson,placed on IL
562,1987-11-12,Bucks,, Dudley Bradley,placed on IL with bruised left thigh
563,1987-11-12,Spurs,, Mike Mitchell,placed on IL recovering from arthroscopic surgery on knee
564,1987-11-13,Pacers,, Herb Williams,placed on IL with bruised lower left leg
566,1987-11-15,Suns,, Armon Gilliam / Armen Gilliam,placed on IL with broken left big toe
568,1987-11-20,Warriors,, Larry Smith,placed on IL
570,1987-11-24,Kings,, Michael Jackson,placed on IL
573,1987-11-24,Warriors,, Terry Teagle,placed on IL
574,1987-11-25,Kings,, Kenny Smith,placed on IL
576,1987-11-30,Bucks,, Jerry Reynolds (b. 1962-12-23),placed on IL with left ankle injury
579,1987-11-30,Knicks,, Bob Thornton,placed on IL with sprained left ankle
580,1987-11-30,Knicks,, Trent Tucker,placed on IL with sprained knee
583,1987-12-01,Suns,, Eddie Johnson (Lee),placed on IL with pulled right calf muscle
585,1987-12-04,Bucks,, Larry Krystkowiak,placed on IL with sprained left ankle
590,1987-12-10,Suns,, Walter Davis (P.),placed on IL
592,1987-12-13,Lakers,, Jeff Lamp,placed on IL recovering from surgery on shoulder
593,1987-12-13,Warriors,, Chris Mullin,placed on IL
594,1987-12-16,Bucks,, Pace Mannion,placed on IL with sprained knee (date approximate)
596,1987-12-17,Celtics,, Greg Kite,placed on IL with strained lower back
600,1987-12-31,Pacers,, Scott Skiles,placed on IL
601,1988-01-02,Bucks,, John Stroeder,placed on IL with tendinitis in both knees
604,1988-01-07,Suns,, Winston Crite,placed on IL
605,1988-01-08,Celtics,, Greg Kite,placed on IL
606,1988-01-08,Nets,, Mike O'Koren,placed on IL
608,1988-01-09,Clippers,, Reggie Williams,placed on IL with strained biceps tendon and strained collateral ligament in left knee
609,1988-01-14,Bucks,, Larry Krystkowiak,placed on IL with tendinitis in foot
610,1988-01-17,Blazers,, Kiki Vandeweghe,placed on IL with strained lower back
614,1988-01-22,Bullets,, Jay Murphy,placed on IL
616,1988-01-28,Blazers,, Steve Johnson,placed on IL recovering from surgery on thumb
617,1988-01-30,Cavaliers,, Johnny Rogers,placed on IL with sprained left ankle
622,1988-02-12,76ers,, Cliff Robinson,placed on IL
625,1988-02-17,Suns,, Bernard Thompson,placed on IL
